,count_id,volume,cl_node_id,location,traffic_id,type,file,OBJECTID,ASSETID,CL_NODE_ID,LAT,LON,FROM_ST,TO_ST,SIG,TRANSITSTOP,RIDERSHIP,SCH_CT,EMPTOT,SUM_POPTTL
24,188,9,5222,3RD AVE at JEFFERSON BLVD,60,manual,JEFFERSON.3RD.CROSSWALK.150603-MAN.PDF,11824.0,113808.0,5222.0,34.02556538,-118.32005009999999,3RD AVE,JEFFERSON BLVD,0.0,0.0,,2,184.98217739999998,3186.0309620000003
25,189,106,5222,3RD AVE at JEFFERSON BLVD,60,manual,3RD.JEFFERSON.151201-NDSMAN.PDF,11824.0,113808.0,5222.0,34.02556538,-118.32005009999999,3RD AVE,JEFFERSON BLVD,0.0,0.0,,2,184.98217739999998,3186.0309620000003
26,214,225,5337,STOCKER ST AT ANGELES VISTA BLVD,66,manual,SANTAROSALIA.STOCKER.130328-MAN.PDF,2610.0,99772.0,5337.0,34.00711782,-118.3373663,SANTA ROSALIA DR,STOCKER ST,1.0,1.0,28.0,1,1134.038798,830.7048196000001
27,221,174,5375,14TH ST AT ALAMEDA ST,67,manual,ALA14T080818.PDF,30199.0,141988.0,5375.0,34.02550184,-118.23919040000001,14TH ST,ALAMEDA ST,1.0,0.0,,0,2525.159705,230.9509055
28,264,67,5729,28TH ST at FLOWER ST,80,manual,FLO28306.PDF,40948.0,131433.0,5729.0,34.02599334,-118.2757909,FLOWER ST,28TH ST,0.0,0.0,,0,2093.91327,2222.118141
29,270,1710,5731,GRAND AVE AT ADAMS BLVD,82,manual,ADAGRA06.PDF,14174.0,117378.0,5731.0,34.02647176,-118.2722721,ADAMS BLVD,GRAND AVE,1.0,6.0,1832.0,0,2331.111454,1337.639242
30,280,479,5753,28TH ST at HILL ST,84,manual,HIL28T081017.PDF,30188.0,141970.0,5753.0,34.02407646,-118.27196880000001,28TH ST,HILL ST,1.0,0.0,,1,2054.010496,1930.3780559999998
31,289,531,5771,FLOWER ST AT JEFFERSON BLVD,88,manual,FLOJE206.PDF,4901.0,103380.0,5771.0,34.02137134,-118.27870120000001,FLOWER ST,JEFFERSON BLVD,1.0,1.0,68.0,0,5211.205283,2062.9172829999998
32,292,2826,5772,FIGUEROA ST AT JEFFERSON BLVD,89,manual,5772_FIGUEROA.JEFFERSON120829.PDF,30190.0,141972.0,5772.0,34.02191637,-118.2799777,FIGUEROA ST,JEFFERSON BLVD,1.0,2.0,404.0,1,6173.429029999999,2453.7300379999997
33,293,2826,5772,FIGUEROA ST AT JEFFERSON BLVD,89,manual,FIGUEROA.JEFFERSON.120829-MAN.PDF,30190.0,141972.0,5772.0,34.02191637,-118.2799777,FIGUEROA ST,JEFFERSON BLVD,1.0,2.0,404.0,1,6173.429029999999,2453.7300379999997
34,308,316,5794,37TH ST AT FLOWER ST,91,manual,5794_37TFLO090302.PDF,23260.0,131438.0,5794.0,34.01781799,-118.2810611,37TH ST,FLOWER ST,1.0,0.0,,0,6925.370163,1560.448489
35,315,1383,5970,FIGUEROA ST AT VERNON AVE,92,manual,FIGUEROA.VERNON.150611-NDSMAN.PDF,4884.0,103353.0,5970.0,34.00375703,-118.28270249999998,FIGUEROA ST,VERNON AVE,1.0,4.0,1523.0,1,392.26325310000004,4468.322022
36,316,1875,5970,FIGUEROA ST AT VERNON AVE,92,manual,FIGUEROA.VERNON.120911-MAN.PDF,4884.0,103353.0,5970.0,34.00375703,-118.28270249999998,FIGUEROA ST,VERNON AVE,1.0,4.0,1523.0,1,392.26325310000004,4468.322022
37,331,1245,5997,"FIGUEROA ST AT MARTIN LUTHER KING, JR BLVD",94,manual,FIGMAR07.PDF,34808.0,148988.0,5997.0,34.01114266,-118.28273259999999,FIGUEROA ST,"MARTIN LUTHER KING, JR BLVD",1.0,2.0,832.0,0,1115.831726,2800.345499
38,341,180,6036,HOPE ST AT 37TH ST,98,manual,6036_HOPE.37ST09.PDF,40947.0,128003.0,6036.0,34.01706567,-118.2793611,HOPE ST,37TH ST,1.0,0.0,,0,5291.053904,1276.2066140000002
39,344,2692,6038,EXPOSITION BOULEVARD N/R AT FIGUEROA ST,99,manual,EXPOSITION.FIGUEROA.120516-MAN.PDF,11904.0,113895.0,6038.0,34.01842822,-118.2822007,EXPOSITION BOULEVARD N/R,FIGUEROA ST,0.0,0.0,,1,8451.289063,1775.3343489999997
40,351,347,6052,CENTRAL AVE AT 16TH ST,100,manual,CEN16T080813.PDF,34861.0,149061.0,6052.0,34.02644192,-118.2487557,16TH ST,CENTRAL AVE,1.0,2.0,186.0,2,3028.767108,386.69829639999995
41,355,143,6076,ORME AVE AT 8TH ST,102,manual,6076_ORME.8TH ST07.PDF,32550.0,145588.0,6076.0,34.02649826,-118.21577109999998,8TH ST,ORME AVE,0.0,0.0,,1,431.48942930000004,3611.077257
42,359,181,6079,SOTO ST at SHORT ST,103,manual,SHORT.SOTO.160608-NDSMAN.PDF,16496.0,121020.0,6079.0,34.02628539,-118.2196351,SHORT ST,SOTO ST,0.0,0.0,,1,899.1181337000002,2234.191824
43,372,2009,6100,SOTO ST AT OLYMPIC BLVD,110,manual,OLYMPIC.SOTO.110113-MAN.PDF,27903.0,138476.0,6100.0,34.02428125,-118.2198425,OLYMPIC BLVD,SOTO ST,1.0,0.0,,1,1070.356978,1816.634756
44,382,604,6111,ORME AVE AT OLYMPIC BLVD,111,manual,OLYORM080416.PDF,27904.0,138477.0,6111.0,34.02336592,-118.2177223,OLYMPIC BLVD,ORME AVE,0.0,4.0,101.77049179999999,0,1022.4315320000001,2231.54002
45,385,239,6121,CAMULOS ST AT OLYMPIC BLVD,113,manual,CAMULOS.OLYMPIC.130116-MAN.PDF,23292.0,131471.0,6121.0,34.02245974,-118.21562340000001,CAMULOS ST,OLYMPIC BLVD,0.0,4.0,112.0,0,1016.5837769999999,2230.547414
46,391,612,6135,8TH ST AT LORENA ST,115,manual,LOR8ST06.PDF,25515.0,134877.0,6135.0,34.0215634,-118.20483030000001,8TH ST,LORENA ST,1.0,4.0,852.0,1,725.0770668,3386.3980479999996
47,392,828,6135,8TH ST AT LORENA ST,115,manual,LORENA.8TH.120905-MAN.PDF,25515.0,134877.0,6135.0,34.0215634,-118.20483030000001,8TH ST,LORENA ST,1.0,4.0,852.0,1,725.0770668,3386.3980479999996
48,394,230,6143,DACOTAH ST AT OLYMPIC BLVD,116,manual,6143_DACOTAH.OLYMPIC09.PDF,9584.0,110411.0,6143.0,34.0209513,-118.21225359999998,DACOTAH ST,OLYMPIC BLVD,0.0,4.0,71.01639344,1,1071.662531,2331.617389
49,402,376,6181,LORENA ST AT OLYMPIC BLVD,119,manual,LOROLY06.PDF,34881.0,149075.0,6181.0,34.01875292,-118.20662420000001,LORENA ST,OLYMPIC BLVD,1.0,1.0,23.0,0,1306.482205,2558.504269
50,424,652,6277,INDIANA ST AT WHITTIER BLVD,125,manual,INDWHI06.PDF,27911.0,138485.0,6277.0,34.02396418,-118.1922959,INDIANA ST,WHITTIER BLVD,0.0,1.0,312.0,1,248.2806267,1452.62805
51,432,594,6285,SANTA FE AVE AT OLYMPIC BLVD,127,manual,OLYMPIC.SANTAFE.150422-MAN.PDF,2695.0,99887.0,6285.0,34.02561607,-118.2299098,OLYMPIC BLVD,SANTA FE AVE,1.0,3.0,1515.0,0,1531.735959,150.85269580000002
52,449,471,7642,ARLINGTON AVE AT VENICE BLVD,132,manual,ARLINGTON.VENICE.110712-MAN.PDF,25591.0,134971.0,7642.0,34.04356992,-118.3177115,ARLINGTON AVE,VENICE BLVD,1.0,3.0,227.0,1,341.3616893,5226.07564
53,451,167,7665,17TH ST at 4TH AVE,133,manual,4TH.17TH.130926-MAN.PDF,18850.0,124563.0,7665.0,34.04181317,-118.32127040000002,17TH ST,4TH AVE,0.0,0.0,,2,531.9551481999999,4322.4778909999995
54,511,28,7846,2ND AVE AT ADAMS BLVD,152,manual,7846_2NDADAM090501.PDF,11962.0,113972.0,7846.0,34.03263786,-118.3188575,2ND AVE,ADAMS BLVD,0.0,0.0,,0,327.446858,3206.505121
55,515,48,7847,3RD AVE at ADAMS BLVD,153,manual,7847_ADAMS.3AV09.PDF,27958.0,138545.0,7847.0,34.03263361,-118.32004599999999,3RD AVE,ADAMS BLVD,0.0,0.0,,0,285.2899123,3325.887418
56,517,56,7848,4TH AVE at ADAMS BLVD,154,manual,7848_ADAMS.4AV09.PDF,16541.0,121077.0,7848.0,34.03262934,-118.32123440000001,4TH AVE,ADAMS BLVD,1.0,4.0,235.0,0,279.5889025,3518.4471229999995
57,518,283,7848,4TH AVE at ADAMS BLVD,154,manual,7848_ADAMS.4AV10.PDF,16541.0,121077.0,7848.0,34.03262934,-118.32123440000001,4TH AVE,ADAMS BLVD,1.0,4.0,235.0,0,279.5889025,3518.4471229999995
58,519,86,7848,4TH AVE at ADAMS BLVD,154,manual,ADA4ST06.PDF,16541.0,121077.0,7848.0,34.03262934,-118.32123440000001,4TH AVE,ADAMS BLVD,1.0,4.0,235.0,0,279.5889025,3518.4471229999995
59,520,216,7848,4TH AVE at ADAMS BLVD,154,manual,ADA4TH080908.PDF,16541.0,121077.0,7848.0,34.03262934,-118.32123440000001,4TH AVE,ADAMS BLVD,1.0,4.0,235.0,0,279.5889025,3518.4471229999995
60,526,108,7851,ADAMS BLVD at 8TH AVE,156,manual,ADA8AV06.PDF,27960.0,138547.0,7851.0,34.03261216,-118.32598870000001,8TH AVE,ADAMS BLVD,0.0,2.0,199.0,0,210.3368471,4211.5870079999995
61,541,84,7921,DOCKWEILER ST at MULLEN AVE,162,manual,DOCKWEILER.MULLEN.130611-MAN.PDF,14260.0,117493.0,7921.0,34.05070788,-118.33497309999998,DOCKWEILER ST,MULLEN AVE,0.0,0.0,,1,541.2276754,2696.7771390000003
62,547,16,7947,7TH ST AT VERMONT AVE,164,manual,7TH.VERMONT.101209-MAN.PDF,34938.0,149151.0,7947.0,34.05977526,-118.29163259999999,7TH ST,VERMONT AVE,1.0,2.0,246.0,7,5076.466285,9887.763213
63,550,806,7970,8TH ST at KINGSLEY DR,165,manual,KINGSLEY.8TH.170223-NDSMAN.PDF,11976.0,113989.0,7970.0,34.05768741,-118.3030712,8TH ST,KINGSLEY DR,0.0,0.0,,0,5558.8068,10906.87816
64,561,1494,7994,7TH ST AT IROLO ST,169,manual,7TH.IROLO.111013-MAN.PDF,16555.0,121093.0,7994.0,34.05972076,-118.3008982,7TH ST,IROLO ST,1.0,1.0,59.0,3,9384.034633,9070.4586
65,575,285,8106,HAUSER BLVD at SMILEY DR,177,manual,HAUSER.SMILEY.170228-NDSMAN.PDF,5012.0,103514.0,8106.0,34.02941958,-118.36383300000001,HAUSER BLVD,SMILEY DR,0.0,0.0,,0,375.2619786,4338.920084
66,579,118,8114,HIGHLAND AVE at OLYMPIC BLVD,179,manual,8114_HIGHLAND.OLYMPIC07.PDF,9638.0,110483.0,8114.0,34.05707792,-118.3400274,HIGHLAND AVE,OLYMPIC BLVD,1.0,2.0,34.0,1,333.27401089999995,1776.7319489999998
67,596,35,8146,9TH ST at HIGHLAND AVE,183,manual,9TH.HIGHLAND.130108-MAN.PDF,32612.0,145668.0,8146.0,34.05875615,-118.33938619999999,9TH ST,HIGHLAND AVE,0.0,0.0,,1,675.5506912000001,1491.074282
68,611,1029,8216,1ST ST AT BEAUDRY AVE,188,manual,1ST.BEAUDRY.150203-MAN.PDF,13840.0,117571.0,8216.0,34.05915291,-118.25420249999999,1ST ST,BEAUDRY AVE,1.0,1.0,421.0,0,13643.65064,2697.065523
69,618,64,8224,1ST ST at FREMONT AVE,190,manual,FRE1ST06 (2).PDF,11830.0,114042.0,8224.0,34.05847805,-118.253069,1ST ST,FREMONT AVE,1.0,0.0,,0,21862.57335,3082.11553
70,628,2316,8229,1ST ST AT HOPE ST,192,manual,1ST.HOPE.151112-NDSMAN.PDF,7360.0,107046.0,8229.0,34.05639111,-118.2498381,1ST ST,HOPE ST,1.0,2.0,404.0,0,52728.72389,2414.7952179999997
71,638,1857,8232,ARCADIA ST AT NORTH MAIN ST,193,manual,NMAIN.ARCADIA.121210PEDN-MAN.PDF,12017.0,114043.0,8232.0,34.05583516,-118.2400365,ARCADIA ST,NORTH MAIN ST,1.0,0.0,,0,32141.12658,2099.184369
72,639,1565,8232,ARCADIA ST AT NORTH MAIN ST,193,manual,8232_ARCADIA.MAIN121205.PDF,12017.0,114043.0,8232.0,34.05583516,-118.2400365,ARCADIA ST,NORTH MAIN ST,1.0,0.0,,0,32141.12658,2099.184369
73,652,7040,8236,1ST ST AT HILL ST,197,manual,HILL.1ST.160203-MAN.PDF,16610.0,121162.0,8236.0,34.05433842,-118.24658490000002,1ST ST,HILL ST,1.0,4.0,600.1920743,0,60793.2787,1095.669958
74,673,2454,8239,TEMPLE ST AT LOS ANGELES ST,200,manual,LOSTEM06 (2).PDF,444.0,96498.0,8239.0,34.05342007,-118.24086229999999,LOS ANGELES ST,TEMPLE ST,1.0,1.0,285.0,0,47991.64984,1152.500194
75,693,2531,8245,SPRING ST AT 1ST ST,203,manual,1ST.SPRING.130319-MAN.PDF,34994.0,149218.0,8245.0,34.05293867,-118.2444547,1ST ST,SPRING ST,1.0,2.0,262.0,0,55784.44832,1188.131695
76,755,5650,8305,SPRING ST AT 5TH ST,218,manual,5TH.SPRING.130523.MIO.PDF,7333.0,107013.0,8305.0,34.04738951,-118.24962649999999,5TH ST,SPRING ST,1.0,1.0,858.0,0,11695.782729999999,4703.661838
77,810,3446,8317,6TH ST AT MAIN ST,225,manual,8317_6THMAI150430.PDF,32638.0,145702.0,8317.0,34.04527535,-118.2499252,6TH ST,MAIN ST,1.0,3.0,812.0,0,7842.437365999999,4816.471515
78,871,1111,8440,DIAMOND ST at FIGUEROA ST,238,manual,DIAFIG080701.PDF,303.0,96477.0,8440.0,34.05840511,-118.2513737,DIAMOND ST,FIGUEROA ST,0.0,3.0,1079.0,0,37398.992889999994,2594.995981
79,872,428,8440,DIAMOND ST at FIGUEROA ST,238,manual,DIAMOND.FIGUEROA.150616-NDSMAN.PDF,303.0,96477.0,8440.0,34.05840511,-118.2513737,DIAMOND ST,FIGUEROA ST,0.0,3.0,1079.0,0,37398.992889999994,2594.995981
80,878,1944,8444,NORTH SPRING ST AT CESAR E CHAVEZ AVE,239,manual,CESSPR090217.PDF,9680.0,110537.0,8444.0,34.05822128,-118.23869170000002,CESAR E CHAVEZ AVE,NORTH SPRING ST,0.0,1.0,993.0,0,5977.952864,3194.517616
81,892,0,8448,WILSHIRE BLVD AT ALVARADO ST,240,manual,ALVARADO.WILSHIRE.150421-WILMAN.PDF,23395.0,131579.0,8448.0,34.05792765,-118.2758806,ALVARADO ST,WILSHIRE BLVD,1.0,3.0,951.35,3,2907.5870370000002,7355.055340000001
82,893,0,8448,WILSHIRE BLVD AT ALVARADO ST,240,manual,ALVARADO.WILSHIRE.150423-WILMAN.PDF,23395.0,131579.0,8448.0,34.05792765,-118.2758806,ALVARADO ST,WILSHIRE BLVD,1.0,3.0,951.35,3,2907.5870370000002,7355.055340000001
83,894,0,8448,WILSHIRE BLVD AT ALVARADO ST,240,manual,ALVARADO.WILSHIRE.110527-MAN.PDF,23395.0,131579.0,8448.0,34.05792765,-118.2758806,ALVARADO ST,WILSHIRE BLVD,1.0,3.0,951.35,3,2907.5870370000002,7355.055340000001
84,895,0,8448,WILSHIRE BLVD AT ALVARADO ST,240,manual,ALVARADO.WILSHIRE.110426-MAN.PDF,23395.0,131579.0,8448.0,34.05792765,-118.2758806,ALVARADO ST,WILSHIRE BLVD,1.0,3.0,951.35,3,2907.5870370000002,7355.055340000001
85,896,280,8448,WILSHIRE BLVD AT ALVARADO ST,240,manual,ALVARADO.WILSHIRE.130416-MAN-NDS.PDF,23395.0,131579.0,8448.0,34.05792765,-118.2758806,ALVARADO ST,WILSHIRE BLVD,1.0,3.0,951.35,3,2907.5870370000002,7355.055340000001
86,899,280,8448,WILSHIRE BLVD AT ALVARADO ST,240,manual,ALVARADO.WILSHIRE.130417-MAN-NDS.PDF,23395.0,131579.0,8448.0,34.05792765,-118.2758806,ALVARADO ST,WILSHIRE BLVD,1.0,3.0,951.35,3,2907.5870370000002,7355.055340000001
87,929,554,8487,BEAUDRY AVE AT 3RD ST,249,manual,3RD.BEAUDRY.150616-NDSMAN.PDF,32370.0,145714.0,8487.0,34.0565219,-118.2565906,3RD ST,MIRAMAR ST,1.0,0.0,,0,14612.19715,3222.402645
88,933,3888,8492,UNION AVE AT WILSHIRE BLVD,250,manual,UNION.WILSHIRE.110621-MAN.PDF,32647.0,145715.0,8492.0,34.05537959,-118.2701386,UNION AVE,WILSHIRE BLVD,1.0,3.0,779.7,4,5650.757976,8710.583156
89,937,1256,8495,LOS ANGELES ST AT ARCADIA ST,251,manual,ARCADIA.LOSANGELES.121206.MAN.PDF,16590.0,121137.0,8495.0,34.05531166,-118.239198,ARCADIA ST,LOS ANGELES ST,0.0,3.0,67.31538461,0,29308.474980000003,2118.397848
90,1011,1636,8540,HOOVER ST at OLYMPIC BLVD,264,manual,8540_HOOVER.OLYMPIC07.PDF,5043.0,103557.0,8540.0,34.05241572,-118.2841934,HOOVER ST,OLYMPIC BLVD,1.0,4.0,1311.0,1,1372.6093640000001,7956.042148
91,1016,647,8545,GRAND VIEW ST at OLYMPIC BLVD,265,manual,GRANDVIEW.OLYMPIC.130117-MAN.PDF,30324.0,142155.0,8545.0,34.05225177,-118.2822841,GRAND VIEW ST,OLYMPIC BLVD,0.0,0.0,,0,1572.4660099999999,7751.405156999999
92,1017,5360,8546,MAIN ST AT NORTH MAIN ST,266,manual,MAIN.1ST.111108-MAN.PDF,21150.0,128115.0,8546.0,34.05222929,-118.24337630000001,1ST ST,NORTH MAIN ST,1.0,1.0,229.0,0,49819.63428,1277.456985
93,1022,3827,8546,MAIN ST AT NORTH MAIN ST,266,manual,MAIN.1ST.130327.MAN.PDF,21150.0,128115.0,8546.0,34.05222929,-118.24337630000001,1ST ST,NORTH MAIN ST,1.0,1.0,229.0,0,49819.63428,1277.456985
94,1044,108,9258,EVERGREEN AVE at WINTER ST,271,manual,EVERGREEN.WINTER.160111-MAN.PDF,7373.0,107060.0,9258.0,34.04745768,-118.19793700000001,EVERGREEN AVE,WINTER ST,0.0,0.0,,1,209.2013065,5643.743879
95,1053,1867,9378,4TH ST AT SOTO ST,275,manual,SOT4ST06.PDF,464.0,96525.0,9378.0,34.04061079,-118.2117568,4TH ST,SOTO ST,1.0,6.0,1849.9344260000003,3,729.9837503,4137.210756
96,1064,181,9386,1ST ST AT DACOTAH ST,276,manual,9386_DACOTAH.1ST120615.PDF,23431.0,131631.0,9386.0,34.03951003,-118.20031440000001,1ST ST,DACOTAH ST,0.0,0.0,,1,232.53980890000003,2948.593295
97,1065,91,9386,1ST ST AT DACOTAH ST,276,manual,1ST.DACOTAH.160602-MAN.PDF,23431.0,131631.0,9386.0,34.03951003,-118.20031440000001,1ST ST,DACOTAH ST,0.0,0.0,,1,232.53980890000003,2948.593295
98,1066,181,9386,1ST ST AT DACOTAH ST,276,manual,1ST.DACOTAH.120615-MAN.PDF,23431.0,131631.0,9386.0,34.03951003,-118.20031440000001,1ST ST,DACOTAH ST,0.0,0.0,,1,232.53980890000003,2948.593295
99,1072,140,9393,1ST ST at FRESNO ST,277,manual,1ST.FRESNO.160608-MAN.PDF,7380.0,107069.0,9393.0,34.03882231,-118.19877369999999,1ST ST,FRESNO ST,1.0,2.0,43.0,1,99.59222641,2587.0544210000003
100,1113,558,9507,4TH ST at FICKETT ST,288,manual,9507_FICKETT.4ST09.PDF,5075.0,103598.0,9507.0,34.03951765,-118.2093155,4TH ST,FICKETT ST,1.0,0.0,,1,636.9472258999999,3747.636278
101,1134,447,9579,1ST ST at EVERGREEN AVE,298,manual,1ST.EVERGREEN.160519-MAN.PDF,2809.0,100032.0,9579.0,34.04043117,-118.2023783,1ST ST,EVERGREEN AVE,1.0,2.0,81.0,2,480.9444495,3588.1738259999997
102,1143,1798,9585,SOTO ST AT 1ST ST,300,manual,9585_SOTO.1ST09.PDF,12030.0,114067.0,9585.0,34.04370388,-118.2097655,1ST ST,SOTO ST,1.0,5.0,6105.955435,1,397.1311207,5424.070389
103,1150,771,9612,DALY ST AT MISSION ROAD,302,manual,9612_MARMIS090317.PDF,16630.0,121184.0,9612.0,34.0606173,-118.21439309999998,MARENGO ST,MISSION ROAD,1.0,2.0,42.0,1,1212.545399,1212.967814
104,1156,187,9617,CENTRAL AVE AT 14TH ST,303,manual,CEN14S0808074.PDF,16631.0,121185.0,9617.0,34.02843464,-118.24686200000001,14TH ST,CENTRAL AVE,1.0,2.0,130.0,2,3443.497049,211.7585872
